,m,n,kernel,n_iter,training_time
0,1000,30,1,882,0.046706109000001564
1,1000,30,0,42059,0.08985108660000378
2,1000,27,1,867,0.04478646040000171
3,1000,27,0,35180,0.0828375929999993
4,1000,24,1,824,0.04118232879999937
5,1000,24,0,33726,0.07542582780000089
6,1000,21,1,900,0.05233944539999698
7,1000,21,0,23463,0.08514500780000275
8,1000,18,1,879,0.049577608000009835
9,1000,18,0,18557,0.09114724080000088
10,1000,15,1,831,0.07406283360000429
11,1000,15,0,16293,0.0758193791999986
12,1000,12,1,844,0.04254880900000444
13,1000,12,0,11306,0.04906594979999568
14,1000,9,1,839,0.03984845739999514
15,1000,9,0,6852,0.04232325440000295
16,1000,6,1,805,0.0398903759999996
17,1000,6,0,838,0.03086448800000312
18,1000,3,1,662,0.04046523099999035
19,1000,3,0,1378,0.03168734119998362
20,990,30,1,896,0.04601255239999773
21,990,30,0,41346,0.09806693579999433
22,990,27,1,894,0.05524978720000604
23,990,27,0,18698,0.08280283159999727
24,990,24,1,901,0.04289847300000247
25,990,24,0,58467,0.08127875360000303
26,990,21,1,939,0.042853566199994475
27,990,21,0,27618,0.06996683900000562
28,990,18,1,907,0.042423854799994845
29,990,18,0,28404,0.06612767399999483
30,990,15,1,858,0.04434785860000261
31,990,15,0,20678,0.060637896600007936
32,990,12,1,906,0.05071121580000408
33,990,12,0,22933,0.05099558320000597
34,990,9,1,855,0.040868711199999554
35,990,9,0,6922,0.04236709840000117
36,990,6,1,807,0.03877713419999509
37,990,6,0,4215,0.037572628599991734
38,990,3,1,774,0.04341408940001088
39,990,3,0,1830,0.034902191599991285
40,980,30,1,836,0.047306806400007416
41,980,30,0,58272,0.09133770220000201
42,980,27,1,816,0.04337752000000705
43,980,27,0,18137,0.07658792200001016
44,980,24,1,932,0.044763815600003906
45,980,24,0,27028,0.07016940000000318
46,980,21,1,925,0.04289462059999778
47,980,21,0,22567,0.06546164060000592
48,980,18,1,941,0.044768172000004824
49,980,18,0,13979,0.06465654719999633
50,980,15,1,781,0.040901360399999476
51,980,15,0,6581,0.05106961399999932
52,980,12,1,849,0.040689650799998846
53,980,12,0,33574,0.05530144119999818
54,980,9,1,788,0.040326361600006064
55,980,9,0,6861,0.04145525319999592
