,m,n,kernel,n_iter,training_time
0,5100,30,1,4328,1.1688467318010225
1,5100,30,0,162120,2.08671676840022
2,5100,27,1,4452,1.1433588316009264
3,5100,27,0,68016,1.8952574149996508
4,5100,24,1,4554,1.1307871513992722
5,5100,24,0,75830,1.754166745600378
6,5100,21,1,4342,1.119146871999692
7,5100,21,0,90001,1.6735504986012528
8,5100,18,1,4604,1.0951309681993735
9,5100,18,0,89911,1.4879965864005498
10,5100,15,1,4296,1.099923478999699
11,5100,15,0,58821,1.3971515059994999
12,5100,12,1,4218,0.9919657870006631
13,5100,12,0,28855,1.1799697284011927
14,5100,9,1,4260,1.020375024399982
15,5100,9,0,24715,1.154321962800168
16,5100,6,1,3556,0.9784485546006181
17,5100,6,0,19012,1.0176359026001591
18,5100,3,1,3266,0.972298166200926
19,5100,3,0,4455,0.8074102038001001
20,5090,30,1,4323,1.1745842835996883
21,5090,30,0,173052,2.066969349800638
22,5090,27,1,4390,1.1487910627984093
23,5090,27,0,91080,1.9154091972006426
24,5090,24,1,4504,1.1070578859995295
25,5090,24,0,64046,1.711597125199478
26,5090,21,1,4567,1.1377899127997808
27,5090,21,0,80361,1.6874336394008425
28,5090,18,1,4309,1.088238087600621
29,5090,18,0,61351,1.5437162886002624
30,5090,15,1,4284,1.078009996999026
31,5090,15,0,60953,1.4014020087997778
32,5090,12,1,4158,0.991647635600384
33,5090,12,0,30196,1.1487803066003834
34,5090,9,1,4056,1.020184024599439
35,5090,9,0,19980,1.0549513776000823
36,5090,6,1,3957,0.9852518815991061
37,5090,6,0,4363,0.8092434833997686
38,5090,3,1,3399,0.9549725927994587
39,5090,3,0,3796,0.845980209800473
40,5080,30,1,4312,1.1760708964000515
41,5080,30,0,147932,2.071876915200119
42,5080,27,1,4448,1.1513613152004836
43,5080,27,0,114041,1.9467661767994286
44,5080,24,1,4484,1.0713377617990774
45,5080,24,0,142075,1.7833679685987591
46,5080,21,1,4306,1.1197490369995649
47,5080,21,0,74449,1.6897463294000772
48,5080,18,1,4691,1.0857004501995107
49,5080,18,0,86913,1.505096695600514
50,5080,15,1,4663,1.1009958078015187
51,5080,15,0,53118,1.3500136002003273
52,5080,12,1,4371,0.9864619899992249
53,5080,12,0,31565,1.1438964769993618
54,5080,9,1,4571,1.0439763302005303
55,5080,9,0,17773,1.0171671420001076
56,5080,6,1,3864,1.0065026199990825
57,5080,6,0,12970,0.9712664672006213
58,5080,3,1,3583,0.9567962917986733
59,5080,3,0,8737,0.9156551353989926
60,5070,30,1,4342,1.1667298662003305
61,5070,30,0,110457,2.1197088128006727
62,5070,27,1,4389,1.1822987706007553
63,5070,27,0,96836,2.0748536957995385
64,5070,24,1,4403,1.0802874137996696
65,5070,24,0,99023,1.7715105275994574
66,5070,21,1,4211,1.101735192599881
67,5070,21,0,60275,1.6398013081998215
68,5070,18,1,4393,1.0740178270003526
69,5070,18,0,47770,1.521792656800244
70,5070,15,1,4193,1.066592295600276
71,5070,15,0,53725,1.3544093035990954
72,5070,12,1,4234,1.016517490601109
73,5070,12,0,43904,1.165398980199825
74,5070,9,1,3914,1.0136732243990991
75,5070,9,0,7234,0.9110373149997031
76,5070,6,1,4655,0.9821232927999517
77,5070,6,0,13470,0.9405442464005318
78,5070,3,1,3576,0.9592672914011928
79,5070,3,0,5134,0.8148320563988818
80,5060,30,1,4529,1.1569901517999823
81,5060,30,0,87007,2.0280419196002186
82,5060,27,1,4194,1.1280854483993608
83,5060,27,0,93819,1.9045976492008776
84,5060,24,1,4499,1.0976922913992895
85,5060,24,0,121315,1.748511124200013
86,5060,21,1,4180,1.1071836896000604
87,5060,21,0,57845,1.6128077972003667
88,5060,18,1,4202,1.057346120600414
89,5060,18,0,58534,1.4392244365997613
90,5060,15,1,4195,1.067508670600364
91,5060,15,0,40032,1.3374892232001003
92,5060,12,1,4097,0.9619884961997741
93,5060,12,0,23306,1.1603132530006406
94,5060,9,1,4062,1.031257804199413
95,5060,9,0,29261,1.06151908880056
96,5060,6,1,3947,0.9661501497997961
97,5060,6,0,18274,0.9560315194001305
98,5060,3,1,3684,0.9354225524009963
99,5060,3,0,3042,0.762432660201739
100,5050,30,1,4529,1.156374398600019
101,5050,30,0,184647,2.0851675289988636
102,5050,27,1,4524,1.1548399636005342
103,5050,27,0,125286,1.9096489889991062
104,5050,24,1,4407,1.0991396470002655
105,5050,24,0,102040,1.7795417540000926
106,5050,21,1,4256,1.1110571871999126
107,5050,21,0,19586,1.477332542801014
